R (pc),Total_mass (Msun),DM_mass (Msun),Stellar_and_BH_mass (Msun)
11887.954313095586,792955340653.8058,461890027248.1466,331065313405.6592
12394.077138133238,837594998432.921,497310297336.1526,340284701096.76843
12921.747851670247,884876421612.6494,535264888227.1771,349611533385.4723
13471.883842679861,934957991632.1536,575914794198.7086,359043197433.445
14045.441557443713,988006139719.1611,619429057676.2454,368577082042.9157
14643.41816239447,1044195529026.9116,665984946466.7184,378210582560.1932
15266.853277752782,1103709216215.1418,715768110744.1813,387941105470.96063
15916.830784972815,1166738789652.5933,768972716964.5319,397766072688.06134
16594.48071113907,1233484481336.1418,825801555801.7892,407682925534.35266
17300.98119358982,1304155249562.6616,886466121137.8191,417689128424.84247
18037.560528183745,1378968829356.9722,951186657103.1566,427782172253.8156
18805.499304770037,1458151747656.7507,1020192170162.8336,437959577493.9172
19606.132633574896,1541939300286.1765,1093720403270.9069,448218897015.26984
20440.85246637549,1630575487817.9365,1172017769184.2947,458557718633.64197
21311.11001649605,1724312907530.4973,1255339240133.0615,468973667397.4358
22218.41828183447,1823412598817.606,1343948191193.6902,479464407623.9158
23164.35467530489,1928143839601.0974,1438116194905.5437,490027644695.5537
24150.563767269887,2038783891538.5005,1538122764910.7559,500661126627.7446
25178.760144730528,2155617692104.3784,1644255046684.9954,511362645419.38306
26250.731392244405,2278937491958.2886,1756807453760.374,522130038197.91437
27368.34119975447,2409042436393.306,1876081248222.7778,532961188170.52844
28533.53260273251,2546238090084.1167,2002384064690.9963,543854025393.12036
29748.33136026898,2690835904820.8896,2136029377452.3853,554806527368.5044
31014.849476983953,2843152630421.049,2277335910935.829,565816719485.2196
32335.28887488081,3003509669549.9897,2426626994242.0,576882675307.9896
33711.94522152702,3172232377749.117,2584229861018.4746,588002516730.6423
35147.21192121798,3349649310557.9873,2750474896556.027,599174414001.9603
36643.58427606198,3536091420219.1514,2925694834584.582,610396585634.5693
38203.6638242207,3731891205061.516,3110223906854.9175,621667298206.5988
39830.162862848745,3937381815261.646,3304396949196.1953,632984866065.4507
41525.90916359352,4152896119271.5938,3508548468329.02,644347650942.574
43293.850888855915,4378765735769.0654,3723011674281.3164,655754061487.7488
45137.0617173573,4615320036518.124,3948117483787.2017,667202552730.9222
47058.74618792445,4862885126018.73,4184193500539.502,678691625479.2283
49062.2452707839,5121782804260.131,4431562978603.747,690219825656.3835
51151.04217605013,5392329519267.954,4690543775676.729,701785743591.2257
53328.76840950678,5674835316439.713,4961447303177.969,713388013261.7437
55599.21008621029,5969602791891.363,5244577480390.813,725025311500.55
57966.31451288998,6276926057181.614,5540229700014.289,736696357167.3248
60434.19705059173,6597089722838.349,5848689812544.943,748399910293.4054
63007.14826949359,6930367908077.458,6170233136874.159,760134771203.2987
65689.64140833357,7277023283979.591,6505123504362.044,771899779617.5472
68486.34015141951,7637306157174.252,6853612343433.204,783693813741.0476
71402.10673673876,8011453600774.459,7215937811433.895,795515789340.5641
74442.0104092679,8399688638916.171,7592323980101.264,807364658814.9069
77611.3362341761,8802219490785.656,7982980080524.737,819239410260.918
80915.59428524523,9219238879476.846,8388099812938.703,831139066538.1426
84360.52922448325,9650923410414.605,8807860726079.799,843062684334.8076
87952.13028958281,10097433023419.135,9242423670181.676,855009353237.4585
91696.6417065897,10558910521783.4,9691932326977.01,866978194806.3915
95600.5735458871,11035481180999.098,10156512819340.297,878968361658.8005
99670.71304036371,11527252439007.977,10636273402446.646,890979036561.3302
103914.1363854497,12034313669090.717,11131304237557.145,903009431533.5721
108338.22104153036,12556736035739.125,11641677248775.295,915058786963.8295
112950.65856012765,13094572433108.547,12167446062370.219,927126370738.3284
117759.46795615138,13647857504920.393,12708646027535.482,939211477384.9094
122773.00964946403,14216607743992.44,13265294316760.375,951313427232.0638
127999.99999999984,14800821668925.896,13837390103341.82,963431565584.0753
